id,text,user_id,created_at,retweet_count,reply_count,favorite_count,num_urls,name,description,user_created_at,statuses_count,followers_count,friends_count,favourites_count,label
529298404636385280,Mama always said you could tell an awful lot about a person by the kind of shoes they wear. - Forrest Gump,456990098,Mon Nov 03 15:45:48 +0000 2014,0,0,0,0,Credit iGuide,Everything you need to know about credit!  Check out http://t.co/4NpB33Hmlr,Fri Jan 06 22:15:47 +0000 2012,11509,596,1304,1,0
514040768605220864,The whole fleet knows this man tried to stab me through the neck. And you missed! Butterfingers! - Gaius Baltar,522725796,Mon Sep 22 13:17:24 +0000 2014,0,0,0,0,CarolineOceans,"Swimmer, writer, blogger, love reading, and social media enthusiast.",Tue Mar 13 00:43:40 +0000 2012,10779,980,1793,1,0
529112338134470656,"London Weight Loss Salon sign: ""We value the pound.""",531156212,Mon Nov 03 03:26:26 +0000 2014,0,0,0,0,Latrisha Prellwitz,"Love to travel, connect with new friends and oh yeah I am a full time sales consultant :)",Tue Mar 20 11:50:40 +0000 2012,11543,760,1586,0,0
513051128842686464,Conversation:  when three women are talking together.  Gossip:  When one of them leaves.,531144016,Fri Sep 19 19:44:55 +0000 2014,0,0,0,0,Rasheeda Hatten,"Love the web, social media, blogging and some light programming!",Tue Mar 20 11:34:42 +0000 2012,10690,744,2001,1,0
520707879259873281,Science fiction is no more written for scientists than ghost stories are written for ghosts. - Brian W. Aldiss,531177445,Fri Oct 10 22:50:07 +0000 2014,0,0,0,0,Lorean Stchur,Lover of life - need I say more!,Tue Mar 20 12:15:46 +0000 2012,12395,894,1731,1,0
522805132359372800,I am truly not one to give advice. I'm divorced and I stole my best friend's husband.  Denise Richards on Love,195013125,Thu Oct 16 17:43:51 +0000 2014,0,0,0,0,Safari iGuide,"Blogs, articles, resources and more all on African Safaris.  Check out http://t.co/i0PTDmwbsJ",Sat Sep 25 15:32:14 +0000 2010,11088,931,1369,0,0
524358054410977280,Conversation:  when three women are talking together.  Gossip:  When one of them leaves.,531226470,Tue Oct 21 00:34:36 +0000 2014,0,0,0,0,Jaimie Hartenstein,"Love to travel, connect with new friends and oh yeah I am a full time sales consultant :)",Tue Mar 20 11:30:07 +0000 2012,11077,552,510,1,0
512152031344488448,"New #HR operating models – integrated, scalable, fit-for-purpose. #HRCT14 London 15-16 Oct http://t.co/CreCMo9s2k [use CTNLM for 20% off]",1372026204,Wed Sep 17 08:12:14 +0000 2014,0,0,0,1,New To HR,We look to close the gap which exists within human resources globally. New To HR has been designed specifically to offer guidance and support. @NicoleLeMaire,Mon Apr 22 12:39:38 +0000 2013,3139,1776,2001,38,0
521136472490274816,Every instructor assumes that you have nothing else to do except study for that instructor's course.,165790334,Sun Oct 12 03:13:11 +0000 2014,0,0,0,0,Homeschool Ducky,We love homeschooling!,Mon Jul 12 15:06:20 +0000 2010,11820,715,1858,1,0
403178275939176448,Great Article RT! @projecteve1 1h Advice for the Self Employed - Lessons I Wish I Knew on Day One - Project Eve http://t.co/JXgYlKHAH6,926780918,Wed Nov 20 15:09:26 +0000 2013,0,0,0,1,What Time Do I Work,"What Time Do I http://t.co/pIlo1UGU1o is an employee scheduling program that allows your staff to view their shifts online, as well as on their cellphones.",Mon Nov 05 03:43:51 +0000 2012,1921,824,778,5,0
524550082109374464,"Be nice to geek's, you'll probably end up working for one - Bill Gates",512405444,Tue Oct 21 13:17:39 +0000 2014,0,0,0,0,Nerd Vibe,We love everything nerdy :),Fri Mar 02 20:13:30 +0000 2012,12328,1102,2001,2,0
512397304683569152,"Who likes not his business, his business likes not him. - William Hazlitt",162341083,Thu Sep 18 00:26:51 +0000 2014,0,0,0,0,Yavonee Brown,"Blogger, writer, editor and all around social media nut :)",Sat Jul 03 10:56:38 +0000 2010,12532,1675,1186,1,0
523124158679744512,The chains of habit are generally too small to be felt until they are too strong to be broken. - Samuel Johnson,521066382,Fri Oct 17 14:51:33 +0000 2014,0,0,0,0,Siri Vibes,Loving all things tech!,Sun Mar 11 06:21:33 +0000 2012,10912,590,1232,0,0
519685229800194049,"Every boy should have two things: a dog, and a mother willing to let him have one - Anonymous",1169254332,Wed Oct 08 03:06:28 +0000 2014,0,0,0,0,Wendy Ravenstock,Training administrator and dog lover :),Mon Feb 11 15:49:59 +0000 2013,8733,454,1931,0,0
499805480202797056,The larvae of Parides species feed on plants in the Birthwort family http://t.co/7GWovGDnzA RT @RoadTrekin,956473088,Thu Aug 14 06:31:27 +0000 2014,0,0,0,1,Moab News,The Wilderness Must be Protected and Grown to Be Sound.,Mon Nov 19 00:31:29 +0000 2012,18782,563,639,0,0
521142048771280896,The man who can drive himself further once the effort gets painful is the man who will win. - Roger Bannister,531131326,Sun Oct 12 03:35:21 +0000 2014,0,0,0,0,Lettie Bobak,"Love to travel, connect with new friends and oh yeah I am a full time sales consultant :)",Tue Mar 20 11:17:53 +0000 2012,9522,1219,1981,1,0
525841606356647937,The Trouble with a kitten is that eventually it becomes a Cat - Ogden Nash,711565705,Sat Oct 25 02:49:43 +0000 2014,0,0,0,0,Maria Santelli,"Flute player, rocker, writer, love running, love the web!",Mon Jul 23 01:19:58 +0000 2012,9480,354,924,0,0
510968229398052864,"I looked and looked but I didn't see God. - Yuri Gagarin, 14 April 1961",164560495,Sun Sep 14 01:48:13 +0000 2014,0,0,0,0,Rick Houston,"Web, Social Media, IT, Writing - I love it!  Check out http://t.co/iHSZ8qrEsW",Fri Jul 09 04:49:54 +0000 2010,12905,1676,968,1,0
474273046048833536,For every disciplined effort there is a multiple reward. - Jim Rohn,2396099064,Wed Jun 04 19:34:40 +0000 2014,0,0,0,0,DL Business Opp,"We provide Business Resources and Business Consulting that helps a small business owner protect and grow their business, giving peace of mind.",Tue Mar 18 12:03:23 +0000 2014,173,2,20,0,0
523552432392261632,Dis Be Da Place,212839724,Sat Oct 18 19:13:21 +0000 2014,0,0,0,0,Tutoring VIbe,"Blogs, articles, resources and more - all on Tutoring!",Sun Nov 07 05:54:26 +0000 2010,11898,827,1399,0,0
520020514723880961,"What we want is to see the child in pursuit of knowledge, and not knowledge in pursuit of the child. - George Bernard Shaw",531234036,Thu Oct 09 01:18:46 +0000 2014,0,0,0,0,Dalila Wehrsig,"Love the web, social media, blogging and some light programming!",Tue Mar 20 11:40:09 +0000 2012,11702,848,616,0,0
518488839246319616,The good Lord gave you a body that can stand most anything. It's your mind you have to convince. - Vincent Lombardi,23088369,Sat Oct 04 19:52:26 +0000 2014,0,0,0,0,MentalItch.com,Founder of http://t.co/GHJ80XIHNq,Fri Mar 06 17:02:51 +0000 2009,18685,32089,18275,2,0
514078739043733504,So Who is The Grass Roots Classic Rock Group?  http://t.co/5XyNrVDQgI,520806944,Mon Sep 22 15:48:17 +0000 2014,0,0,0,1,Willie Athena,"Blogger, web geek, writer and social media enthusiast.",Sat Mar 10 22:58:16 +0000 2012,11986,1395,1650,0,0
